domain	ageusia coronavirus	ageusia covid	anosmia covid	chest pain coronavirus	chest pain covid	cough coronavirus	cough covid	coughing coronavirus	coughing covid	diarrea coronavirus	diarrea covid	diarrhea coronavirus	diarrhea covid	difficulty breathing coronavirus	difficulty breathing covid	dsypnea coronavirus	dsypnea covid	fever coronavirus	fever covid	loss smell coronavirus	loss smell covid	loss taste coronavirus	loss taste covid	rhinorrhea coronavirus	running nose coronavirus	running nose covid	runny nose coronavirus	runny nose covid	shortness of breath coronavirus	sore throat coronavirus	sore throat covid	soreness coronavirus	soreness covid	thermometer coronavirus	thermometer covid	throat pain coronavirus	throat pain covid	total	missing	top 20 % present	weighted avg rank	honcode	type
www.theladders.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	6	30	30	30	30	28.8	35	5%	29.9		
news.harvard.edu	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	35	5%	29.9		
www.nfid.org	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	30	30	30	29.2	34	8%	29.9		
www.health.state.mn.us	30	30	30	30	30	30	30	30	30	10	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	35	5%	29.9		
hartfordhealthcare.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	18	22	30	30	30	30	30	30	30	30	30	29.3	34	8%	29.9		
www.sciencedirect.com	7	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	35	5%	29.9		
www.miamiherald.com	30	30	30	30	30	30	30	30	30	8	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	35	5%	29.9		
www.wbur.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	7	30	30	29.0	35	5%	29.9		
healthy.kaiserpermanente.org	30	30	30	23	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	30	30	30	30	30	30	29.3	34	8%	29.9		
curistrelief.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	12	29.0	35	5%	29.9		
www.childrensmn.org	30	30	30	30	30	30	30	30	30	13	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	35	5%	29.9		
www.livescience.com	30	30	30	30	30	30	30	30	30	30	30	8	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	35	5%	29.9		
blog.ochsner.org	30	30	30	30	30	30	30	30	30	30	30	12	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	35	5%	29.9		
www.idse.net	30	30	30	30	30	30	30	30	30	30	30	19	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	35	5%	29.9		
www.riversideonline.com	30	30	30	12	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	35	5%	29.9		
cdhf.ca	30	30	30	30	30	30	30	30	30	30	30	13	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	35	5%	30.0		
europepmc.org	15	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	35	5%	30.0		
www.wsj.com	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	29.2	35	5%	30.0		
covid19.ca.gov	30	30	30	30	30	30	30	30	30	17	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	35	5%	30.0		
www.discovermagazine.com	30	30	30	30	30	30	30	30	30	30	30	18	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	35	5%	30.0		
health.uconn.edu	17	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	35	5%	30.0		
publichealth.lacounty.gov	30	30	30	30	30	30	30	30	30	18	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	35	5%	30.0		
wesleymc.com	30	30	30	22	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	35	5%	30.0		
www.healthcentral.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	24	30	30	30	30	29.4	35	5%	30.0		
www.nhs.uk	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	35	5%	30.0		
www.brighamandwomens.org	30	30	30	19	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	35	5%	30.0		
www.ucsfhealth.org	30	30	30	30	30	30	30	30	30	21	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	35	5%	30.0		
medicalxpress.com	30	30	30	30	30	30	30	30	30	30	30	14	25	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	35	5%	30.0		
www.cghjournal.org	30	30	30	30	30	30	30	30	30	30	30	21	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	35	5%	30.0		
www.indigourgentcare.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	20	29.4	35	5%	30.0		
www.mountsinai.org	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	35	5%	30.0		
healthtalk.unchealthcare.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	24	30	30	30	30	30	30	30	30	30	30	29.5	35	5%	30.0		
www.dshs.texas.gov	30	30	30	30	30	30	30	30	30	19	21	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	35	5%	30.0		
