domain	agueusie	anosmie	chiasse	courbature	diarrhée	douleur thoracique	douleur thorax	dyspnée	essouflement	fièvre	gene respiratoire	gêne respiratoire	mal thoracique	mal à respirer	maux de gorge	oppression thoracique	perte de gout	perte de goût	perte odorat	rhinorrhée	thermomètre	tousser	toux	écoulement nasale	éruption cutanée	total	missing
www.lenouvelliste.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	5	30	30	30	30	30	30	30	28.16	23
www.lepharmaciendefrance.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	16	30	28.56	23
www.lequipe.fr	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24
www.lesechos.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	29.52	24
www.lesouffle.org	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	29.56	24
www.letemps.ch	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	5	30	30	30	30	30	30	27.24	22
www.lfm.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	3	30	30	30	30	30	30	30	27.88	23
www.liberation.fr	30	30	30	30	30	30	30	30	30	30	14	14	30	30	30	30	30	30	30	30	30	30	30	30	30	28.72	23
www.liguepulmonaire.ch	30	30	30	30	30	30	30	30	30	30	12	12	30	30	30	30	30	30	30	30	30	30	30	30	30	28.56	23
www.linguee.com	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	16	30	20	30	30	30	30	30	30	30	28.48	22
www.linternaute.fr	30	30	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	30	30	30	27.76	23
www.livi.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	29.6	24
www.louvainmedical.be	30	30	30	30	30	19	16	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	28.6	22
www.lungenliga.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	13	30	30	28.84	23
www.maxisciences.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	30	30	30	30	28.88	24
www.medecine.ups-tlse.fr	30	30	30	30	30	30	30	10	30	30	30	18	30	30	30	30	30	30	30	24	30	30	30	30	30	28.48	22
