domain	agueusie coronavirus	agueusie covid	anosmie coronavirus	anosmie covid	chiasse coronavirus	chiasse covid	courbature coronavirus	courbature covid	diarrhée covid	douleur thoracique covid	douleur thorax coronavirus	douleur thorax covid	dyspnée coronavirus	dyspnée covid	essouflement covid	fièvre coronavirus	fièvre covid	gene respiratoire coronavirus	gene respiratoire covid	gêne respiratoire coronavirus	mal de gorge coronavirus	mal de gorge covid	mal thoracique coronavirus	mal thoracique covid	mal à respirer coronavirus	mal à respirer covid	maux de gorge coronavirus	maux de gorge covid	nez qui coule coronavirus	nez qui coule covid	oppression thoracique covid	perte de gout coronavirus	perte de gout covid	perte de goût coronavirus	perte de goût covid	perte odorat coronavirus	rhinorrhée coronavirus	rhinorrhée covid	thermomètre coronavirus	thermomètre covid	tousse coronavirus	tousse covid	tousser coronavirus	tousser covid	toux coronavirus	toux covid	écoulement nasale coronavirus	écoulement nasale covid	éruption cutanée coronavirus	éruption cutanée covid	avg position	nb missing	% presence	weighted avg position	honcode	type
www.lemanbleu.ch	30	30	30	30	30	5	30	30	4	30	30	30	30	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.5	47	6%	29.9		
www.canalvie.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	3	30	30	28.6	47	6%	29.9		
www.lacote.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	17	30	30	30	19	30	30	30	30	30	28.9	46	8%	29.9		
www.afsos.org	30	30	30	30	30	30	30	30	30	30	30	30	5	4	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.7	47	6%	29.9		
www.ouest-france.fr	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	5	6	30	30	30	30	30	30	30	30	30	30	28.8	47	6%	29.9		
www.levif.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	10	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	47	6%	29.9		
www.marieclaire.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	9	30	30	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	47	6%	29.9		
www.lavoixdunord.fr	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	47	6%	29.9		
www.quebec.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	12	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	47	6%	29.9		
www.liberation.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	29.0	47	6%	29.9		
www.unisante.ch	30	30	30	30	30	30	30	30	19	30	30	30	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	29.0	47	6%	29.9		
www.chirosphere.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	13	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	47	6%	29.9		
www.gouvernement.fr	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	18	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	47	6%	29.9		
www.ra-sante.com	10	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	47	6%	29.9		
www.20minutes.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	17	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	47	6%	29.9		
www.migros-impuls.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	13	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	47	6%	29.9		
www.canada.ca	30	30	30	30	30	30	30	30	30	18	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	47	6%	29.9		
www.gauchebdo.ch	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	16	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	47	6%	29.9		
www.franceculture.fr	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	19	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	47	6%	30.0		
topvitality.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	1	30	30	30	30	30	30	30	30	30	30	28.9	48	4%	30.0		
www.planetesante.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	48	4%	30.0		
www.ehnv.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	3	29.0	48	4%	30.0		
